Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Expense Ratio (%),Launch,Net Assets (Cr)
Aditya Birla Sun Life CRISIL Liquid Overnight ETF,--,5.99,34/35,Low,Debt,0.43,2023-03-13,40.00
Aditya Birla Sun Life Debt Plus Arbitrage FOF - Regular Plan,--,8.71,--,Moderate,Debt,0.28,2006-12-29,410.00
Aditya Birla Sun Life Dynamic Bond Fund - Regular Plan,5,9.45,4/23,Moderate,Debt - Bond,1.23,2004-09-27,"1,950"
Aditya Birla Sun Life Floating Rate Fund - Regular Plan,5,8.49,11/12,Low to Moderate,Debt,0.43,2009-03-23,"13,658"
Aditya Birla Sun Life Government Securities Fund - Regular Plan,3,6.79,29/32,Moderate,Debt - Govt Instruments,1.14,1999-10-11,"2,463"
Aditya Birla Sun Life Income Fund - Regular Plan,3,8.23,8/13,Moderate,Debt,1.16,1995-10-21,"2,317"
Aditya Birla Sun Life Liquid Fund - Regular Plan,4,7.20,12/45,Moderate,Debt,0.34,2004-03-29,"44,546"
Aditya Birla Sun Life Long Duration Fund - Regular Plan,--,8.80,2/9,Moderate,Debt,1.09,2022-08-08,197.00
Aditya Birla Sun Life Low Duration Fund - Regular Plan,2,7.64,18/20,Low to Moderate,Debt,1.20,1998-05-14,"13,528"
Aditya Birla Sun Life Medium Term Plan - Regular Plan,1,13.82,1/13,Moderately High,Debt,1.54,2009-03-25,"2,504"
Aditya Birla Sun Life Money Manager Fund - Regular Plan,5,8.12,7/23,Moderate,Debt,0.35,2005-10-10,"26,590"
Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund - Regular Plan,--,8.65,72/95,Low to Moderate,Debt,0.51,2022-01-28,"3,869"
Aditya Birla Sun Life Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund - Regular Plan,--,8.42,78/95,Low to Moderate,Debt,0.35,2021-09-24,"9,224"
Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund - Regular Plan,--,6.89,95/95,Low,Debt,0.34,2022-09-28,37.00
Aditya Birla Sun Life Nifty SDL Sep 2027 Index Fund - Regular Plan,--,9.21,54/95,Low to Moderate,Debt,0.50,2023-03-10,36.00
Aditya Birla Sun Life Overnight Fund - Regular Plan,3,6.33,22/35,Low,Debt,0.19,2018-11-01,"7,174"
Aditya Birla Sun Life Retirement Fund - The 50s Plus - Debt Plan - Regular Plan,1,6.55,25/25,Moderate,Debt,2.07,2019-03-11,18.00
Aditya Birla Sun Life Savings Fund - Regular Plan,4,8.09,1/24,Moderate,Debt,0.54,2001-11-27,"18,981"
Aditya Birla Sun Life Short Term Fund - Regular Plan,4,9.07,10/25,Moderate,Debt,0.99,2003-05-09,"9,193"
Aditya Birla Sun Life US Treasury 1-3 year Bond ETFs FoF - Regular Plan,--,8.92,1/5,Very High,Debt,0.23,2023-10-31,87.00
Aditya Birla Sun Life US Treasury 3-10 year Bond ETFs FoF - Regular Plan,--,8.72,2/5,Very High,Debt,0.20,2023-10-31,174.00
Angel One Nifty 1D Rate Liquid ETF - Growth,--,--,--,Low,Debt,0.27,2025-03-25,120.00
Axis Banking & PSU Debt Fund,4,8.99,13/22,Moderate,Debt - Banking,0.63,2012-06-08,"13,470"
Axis Corporate Bond Fund - Regular Plan,4,9.65,4/21,Moderate,Debt - Bond,0.92,2017-07-13,"8,119"
Axis Credit Risk Fund - Regular Plan,3,9.08,7/14,High,Debt,1.57,2014-07-15,361.00
Axis CRISIL IBX 50:50 Gilt Plus SDL Jun 2028 Index Fund - Regular Plan,--,9.79,41/95,Low to Moderate,Debt,0.37,2023-01-24,79.00
Axis CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund - Regular Plan,--,9.18,56/95,Low to Moderate,Debt,0.40,2023-02-27,37.00
Axis CRISIL-IBX AAA Bond Financial Services - Sep 2027 Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.25,2024-11-22,88.00
Axis CRISIL-IBX AAA Bond NBFC-HFC - Jun 2027 Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.30,2024-12-11,44.00
Axis CRISIL-IBX AAA Bond NBFC - Jun 2027 Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.49,2024-09-24,751.00
Axis CRISIL IBX SDL June 2034 Debt Index Fund - Regular Plan,--,10.83,7/95,Moderate,Debt,0.45,2024-03-21,16.00
Axis CRISIL IBX SDL May 2027 Index Fund - Regular Plan,--,9.25,53/95,Low to Moderate,Debt,0.29,2022-02-23,"2,239"
Axis Dynamic Bond Fund - Regular plan,3,9.32,6/23,Moderate,Debt - Bond,0.63,2011-04-27,"1,309"
Axis Floater Fund - Regular Plan,1,9.72,1/12,Moderate,Debt,0.53,2021-07-29,180.00
Axis Gilt Fund,4,8.85,11/32,Moderate,Debt - Govt Instruments,0.81,2012-01-23,770.00
Axis Income Plus Arbitrage Active FoF - Regular Plan,--,9.26,--,Moderate,Debt,0.45,2020-01-28,383.00
Axis Liquid Fund,5,7.24,4/45,Low to Moderate,Debt,0.22,2009-10-09,"36,089"
Axis Long Duration Fund - Regular Plan,--,6.16,8/9,Moderate,Debt,0.76,2022-12-27,364.00
Axis Money Market Fund - Regular Plan,4,8.17,4/23,Low to Moderate,Debt,0.33,2019-08-06,"18,862"
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,--,8.00,87/95,Low,Debt,0.09,2021-05-11,"1,105"
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF FoF - Regular Plan,--,7.73,91/95,Low,Debt,0.19,2021-10-20,256.00
Axis Nifty SDL September 2026 Debt Index Fund - Regular Plan,--,8.53,75/95,Low to Moderate,Debt,0.31,2022-11-22,77.00
Axis Overnight Fund - Regular Plan,5,6.44,2/35,Low,Debt,0.10,2019-03-15,"8,726"
Axis Short Duration Fund - Regular Plan,4,9.44,3/25,Moderate,Debt,0.88,2010-01-22,"9,494"
Axis Strategic Bond Fund - Regular Plan,5,9.59,3/13,Moderately High,Debt,1.16,2012-03-28,"1,945"
Axis Treasury Advantage Fund - Regular Plan,5,8.24,4/20,Low to Moderate,Debt,0.67,2009-10-09,"6,600"
Axis Ultra Short Duration Fund - Regular Plan,3,7.21,16/24,Moderate,Debt,1.18,2018-09-10,"6,211"
Axis US Treasury Dynamic Bond ETF FoF - Regular Plan,--,8.15,4/5,Very High,Debt,0.14,2023-12-22,52.00
Bajaj Finserv Banking and PSU Fund - Regular Plan,2,9.41,2/22,Moderate,Debt - Banking,0.89,2023-11-13,142.00
Bajaj Finserv Gilt Fund - Regular Plan,--,--,--,Moderate,Debt - Govt Instruments,1.04,2025-01-15,44.00
Bajaj Finserv Liquid Fund - Regular Plan,3,7.12,24/45,Low to Moderate,Debt,0.28,2023-07-05,"4,615"
Bajaj Finserv Money Market Fund - Regular Plan,2,7.69,19/23,Low to Moderate,Debt,0.76,2023-07-24,"3,816"
Bajaj Finserv Nifty 1D Rate Liquid ETF - Growth,--,6.03,42/45,Low,Debt,0.19,2024-05-28,846.00
Bajaj Finserv Overnight Fund - Regular Plan,4,6.40,3/35,Low,Debt,0.12,2023-07-05,569.00
Bandhan Banking & PSU Debt Fund - Regular Plan,4,8.71,19/22,Moderate,Debt - Banking,0.63,2013-03-07,"13,580"
Bandhan Bond Fund Income Plan - Regular Plan,1,6.27,13/13,Moderate,Debt,1.98,2000-07-14,494.00
Bandhan Bond Fund Medium Term Plan - Regular Plan,2,8.93,9/13,Moderate,Debt,1.31,2003-07-08,"1,488"
Bandhan Bond Fund Short Term Plan - Regular Plan,2,9.25,5/25,Moderate,Debt,0.81,2000-12-14,"10,116"
Bandhan Corporate Bond Fund - Regular Plan,3,9.27,14/21,Moderate,Debt - Bond,0.65,2016-01-12,"15,304"
Bandhan Credit Risk Fund - Regular Plan,2,7.83,12/14,Moderate,Debt,1.69,2017-03-03,283.00
Bandhan CRISIL-IBX 10:90 Gilt + SDL Index - Dec 2029 Fund - Regular Plan,--,--,--,Moderate,Debt,0.33,2025-03-10,11.00
Bandhan CRISIL IBX 90:10 SDL Plus Gilt- April 2032 Index Fund - Regular Plan,--,10.69,14/95,Moderate,Debt,0.26,2022-11-29,544.00
Bandhan CRISIL IBX 90:10 SDL Plus Gilt- November 2026 Index Fund - Regular Plan,--,8.56,73/95,Low to Moderate,Debt,0.33,2022-11-17,106.00
Bandhan CRISIL IBX 90:10 SDL Plus Gilt-September 2027 Index Fund - Regular Plan,--,9.30,49/95,Low to Moderate,Debt,0.33,2022-11-24,153.00
Bandhan CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.35,2025-03-13,407.00
Bandhan Crisil IBX Gilt April 2026 Index Fund - Regular Plan,--,7.65,92/95,Low to Moderate,Debt,0.41,2022-10-20,440.00
Bandhan CRISIL IBX Gilt April 2028 Index Fund - Regular Plan,--,9.28,50/95,Low to Moderate,Debt,0.44,2021-03-23,"4,682"
Bandhan Crisil IBX Gilt April 2032 Index Fund - Regular Plan,--,10.79,8/95,Moderate,Debt,0.46,2023-02-15,467.00
Bandhan CRISIL IBX Gilt June 2027 Index Fund - Regular Plan,--,8.86,66/95,Low to Moderate,Debt,0.44,2021-03-23,"6,671"
Bandhan Dynamic Bond Fund - Regular Plan,1,5.56,23/23,Moderate,Debt - Bond,1.57,2008-12-01,"2,939"
Bandhan Floating Rate Fund - Regular Plan,3,9.28,6/12,Moderate,Debt,0.79,2021-02-18,312.00
Bandhan Government Securities Fund - Constant Maturity Plan - Regular Plan,--,10.59,5/8,Moderate,Debt,0.36,2002-03-09,372.00
Bandhan Government Securities Fund - Investment Plan - Regular Plan,1,6.06,32/32,Moderate,Debt - Govt Instruments,1.14,2008-12-01,"3,432"
Bandhan Income Plus Arbitrage FoF - Regular Plan,--,8.67,--,Moderate,Debt,0.29,2004-09-13,463.00
Bandhan Liquid Fund - Regular Plan,3,7.12,25/45,Low to Moderate,Debt,0.25,2004-04-01,"13,626"
Bandhan Long Duration Fund - Regular Plan,--,6.49,7/9,Moderate,Debt,0.66,2024-03-20,174.00
Bandhan Low Duration Fund - Regular Plan,3,7.96,10/20,Low to Moderate,Debt,0.62,2006-01-17,"6,506"
Bandhan Money Manager Fund - Regular Plan,2,7.92,14/23,Low to Moderate,Debt,0.35,2003-02-18,"10,885"
Bandhan Overnight Fund - Regular Plan,3,6.34,20/35,Low,Debt,0.15,2019-01-18,801.00
Bandhan Ultra Short Term Fund - Regular Plan,3,7.59,8/24,Low to Moderate,Debt,0.46,2018-07-18,"4,562"
Bandhan US Treasury Bond 0-1 year FoF - Regular Plan,--,8.34,3/5,Very High,Debt,0.18,2023-03-28,133.00
Bank of India Credit Risk Fund - Regular Plan,2,5.83,14/14,Moderately High,Debt,1.52,2015-02-27,110.00
Bank of India Liquid Fund - Regular Plan,5,7.27,2/45,Low to Moderate,Debt,0.14,2008-07-16,"1,849"
Bank of India Money Market Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.62,2025-02-04,109.00
Bank of India Overnight Fund - Regular Plan,5,6.52,1/35,Low,Debt,0.11,2020-01-28,72.00
Bank of India Short Term Income Fund - Regular Plan,1,10.17,1/25,Moderate,Debt,1.05,2008-12-18,137.00
Bank of India Ultra Short Duration Fund - Regular Plan,2,7.03,21/24,Low to Moderate,Debt,0.90,2008-07-16,224.00
Baroda BNP Paribas Banking & PSU Bond Fund - Regular Plan,2,9.33,3/22,Moderate,Debt - Banking,0.80,2020-12-17,26.00
Baroda BNP Paribas Corporate Bond Fund,2,10.00,2/21,Moderate,Debt - Bond,0.58,2008-11-08,299.00
Baroda BNP Paribas Credit Risk Fund - Regular Plan,4,8.97,8/14,Moderately High,Debt,1.61,2015-01-23,178.00
Baroda BNP Paribas Dynamic Bond Fund - Regular Plan,3,7.94,16/23,Moderate,Debt - Bond,1.70,2004-09-23,202.00
Baroda BNP Paribas Gilt Fund - Regular Plan,5,10.15,9/32,Moderate,Debt - Govt Instruments,0.45,2002-03-21,"1,762"
Baroda BNP Paribas Income Plus Arbitrage Active FoF - Regular Plan,--,--,--,Moderate,Debt,0.25,2025-05-23,80.00
Baroda BNP Paribas Liquid Fund,3,7.12,23/45,Low to Moderate,Debt,0.31,2009-02-05,"11,384"
Baroda BNP Paribas Low Duration Fund,2,7.55,20/20,Moderate,Debt,1.09,2005-10-21,247.00
Baroda BNP Paribas Money Market Fund - Regular Plan,3,7.95,13/23,Low to Moderate,Debt,0.44,2019-06-19,"1,569"
Baroda BNP Paribas Nifty SDL December 2026 Index Fund - Regular Plan,--,8.73,71/95,Low to Moderate,Debt,0.49,2023-01-25,124.00
Baroda BNP Paribas NIFTY SDL December 2028 Index Fund - Regular Plan,--,10.39,26/95,Moderate,Debt,0.49,2023-03-24,28.00
Baroda BNP Paribas Overnight Fund - Regular Plan,3,6.37,10/35,Low,Debt,0.17,2019-04-25,684.00
Baroda BNP Paribas Overnight Fund - Unclaimed,--,--,--,Low,Debt,--,--,684.00
Baroda BNP Paribas Short Duration Fund - Regular Plan,3,9.07,9/25,Moderate,Debt,1.08,2010-06-30,199.00
Baroda BNP Paribas Ultra Short Duration Fund - Regular Plan,5,7.70,3/24,Low to Moderate,Debt,0.49,2018-06-01,"1,595"
BHARAT Bond ETF - April 2030,--,10.50,23/95,Moderate,Debt,0.01,2019-12-26,"25,437"
BHARAT Bond ETF - April 2031,--,10.74,10/95,Moderate,Debt,0.01,2020-07-23,"13,455"
BHARAT Bond ETF - April 2032,--,10.86,6/95,Moderate,Debt,0.01,2021-12-13,"11,049"
BHARAT Bond ETF - April 2033,--,10.94,3/95,Moderate,Debt,0.01,2022-12-12,"6,385"
BHARAT Bond ETF FOF - April 2032 - Regular Plan,--,10.98,2/95,Moderate,Debt,0.08,2021-12-15,"4,600"
BHARAT Bond ETF FOF - April 2033 - Regular Plan,--,11.06,1/95,Moderate,Debt,0.09,2022-12-14,"2,377"
BHARAT Bond FOF - April 2030 - Regular Plan,--,10.25,29/95,Moderate,Debt,0.08,2019-12-30,"9,872"
BHARAT Bond FOF - April 2031 - Regular Plan,--,10.53,20/95,Moderate,Debt,0.08,2020-07-23,"4,888"
Canara Robeco Banking and PSU Debt Fund - Regular Plan,3,8.16,22/22,Moderate,Debt - Banking,0.71,2022-08-22,233.00
Canara Robeco Corporate Bond Fund - Regular Plan,2,8.00,21/21,Moderate,Debt - Bond,1.03,2014-02-07,117.00
Canara Robeco Dynamic Bond Fund - Regular Plan,1,6.48,22/23,Moderate,Debt - Bond,1.75,2009-05-29,133.00
Canara Robeco Gilt Fund - Regular Plan,3,7.19,23/32,Moderate,Debt - Govt Instruments,1.25,1999-12-29,146.00
Canara Robeco Income Fund - Regular Plan,2,7.08,12/13,Moderate,Debt,1.88,2002-09-19,121.00
Canara Robeco Liquid Fund - Regular Plan,5,7.23,6/45,Low to Moderate,Debt,0.20,2008-07-14,"4,692"
Canara Robeco Overnight Fund - Regular Plan,3,6.32,24/35,Low,Debt,0.09,2019-07-24,244.00
Canara Robeco Savings Fund - Regular Plan,3,7.95,11/20,Low to Moderate,Debt,0.50,2005-03-04,"1,350"
Canara Robeco Short Duration Fund - Regular Plan,3,8.27,24/25,Moderate,Debt,1.02,2011-04-25,455.00
Canara Robeco Ultra Short Term Fund - Regular Plan,2,7.12,17/24,Low to Moderate,Debt,0.95,2008-07-14,570.00
DSP 10Y G-Sec Fund - Regular Plan,--,10.08,8/8,Moderate,Debt,0.51,2014-09-26,60.00
DSP Banking & PSU Debt Fund - Regular Plan,2,8.94,14/22,Moderate,Debt - Banking,0.58,2013-09-14,"4,104"
DSP Bond Fund - Retail Plan,3,9.66,2/13,Moderate,Debt,0.72,1997-04-29,312.00
DSP BSE Liquid Rate ETF,--,6.11,39/45,Low,Debt,0.30,2024-03-27,"2,354"
DSP Corporate Bond Fund - Regular Plan,1,8.85,19/21,Low to Moderate,Debt - Bond,0.55,2018-09-10,"2,647"
DSP Credit Risk Fund - Regular Plan,1,23.01,1/14,Moderately High,Debt,1.12,2003-05-13,210.00
DSP CRISIL-IBX 50:50 Gilt Plus SDL - April 2033 Index Fund - Regular Plan,--,10.58,16/95,Moderate,Debt,0.41,2023-01-25,406.00
DSP Floater Fund - Regular Plan,2,9.56,2/12,Moderate,Debt,0.52,2021-03-19,580.00
DSP Gilt Fund - Regular Plan,3,7.54,18/32,Moderate,Debt - Govt Instruments,1.14,1999-09-30,"1,904"
DSP Income Plus Arbitrage FoF- Regular Plan,--,8.30,--,Moderate,Debt,0.99,2014-08-21,684.00
DSP Liquidity Fund - Regular Plan,4,7.23,5/45,Low to Moderate,Debt,0.18,2005-11-23,"17,752"
DSP Low Duration Fund - Regular Plan,3,7.97,9/20,Low to Moderate,Debt,0.61,2015-03-10,"5,230"
DSP NIFTY 1D Rate Liquid ETF,--,6.11,40/45,Low,Debt,0.30,2018-03-14,543.00
DSP Nifty SDL Plus G-Sec Jun 2028 30:70 Index Fund - Regular Plan,--,9.62,44/95,Low to Moderate,Debt,0.29,2022-03-21,"2,173"
DSP Nifty SDL Plus G-Sec Sep 2027 50:50 Index Fund - Regular Plan,--,9.19,55/95,Low to Moderate,Debt,0.31,2023-02-14,86.00
DSP Overnight Fund - Regular Plan,4,6.36,11/35,Low,Debt,0.14,2019-01-09,"1,442"
DSP Overnight Fund - Unclaimed,--,--,--,Low,Debt,0.07,--,"1,442"
DSP Savings Fund - Regular Plan,3,7.63,20/23,Low to Moderate,Debt,0.39,1999-09-30,"4,517"
DSP Short Term Fund - Regular Plan,3,9.02,12/25,Moderate,Debt,0.95,2002-09-09,"3,418"
DSP Strategic Bond Fund - Regular Plan,2,7.47,20/23,Moderate,Debt - Bond,1.20,2007-05-09,"1,601"
DSP Ultra Short Fund - Regular Plan,2,7.37,13/24,Low to Moderate,Debt,1.02,2006-07-31,"4,011"
DSP US Treasury FoF - Regular Plan,--,8.08,5/5,Very High,Debt,0.26,2024-03-18,60.00
Edelweiss Banking and PSU Debt Fund - Regular Plan,1,9.63,1/22,Moderate,Debt - Banking,0.69,2013-09-13,270.00
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund - Regular Plan,--,10.72,11/95,Moderate,Debt,0.46,2022-10-11,"1,089"
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund - Regular Plan,--,8.97,63/95,Low to Moderate,Debt,0.44,2022-10-19,94.00
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund - Regular Plan,--,9.87,36/95,Low to Moderate,Debt,0.46,2022-11-10,151.00
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index Fund - Regular Plan,3,9.11,8/25,Low to Moderate,Debt,0.60,2023-02-15,141.00
Edelweiss CRISIL-IBX AAA Bond NBFC-HFC - Jun 2027 Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.34,2025-02-18,83.00
Edelweiss CRISIL IBX AAA Financial Services Bond - Jan 2028 Index Fund - Regular Plan,--,--,--,Moderate,Debt,0.36,2024-11-29,126.00
Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund - Regular Plan,--,7.26,94/95,Low,Debt,0.39,2022-03-10,793.00
Edelweiss Government Securities Fund - Regular Plan,3,7.47,22/32,Moderate,Debt - Govt Instruments,1.15,2014-02-13,182.00
Edelweiss Liquid Fund - Regular Plan,3,7.20,13/45,Low to Moderate,Debt,0.18,2007-09-21,"7,716"
Edelweiss Low Duration Fund - Regular Plan,--,--,--,Low to Moderate,Debt,--,2025-03-19,557.00
Edelweiss Money Market Fund - Regular Plan,2,7.50,21/23,Low to Moderate,Debt,0.83,2008-06-27,"1,685"
Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund - Regular Plan,--,8.02,86/95,Low to Moderate,Debt,0.41,2021-03-18,"7,512"
Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index - Regular Plan,--,8.95,64/95,Low to Moderate,Debt,0.40,2021-10-14,"2,314"
Edelweiss Overnight Fund - Regular Plan,3,6.32,25/35,Low,Debt,0.16,2019-07-23,212.00
Franklin India Banking & PSU Debt Fund - Regular Plan,4,8.87,16/22,Moderate,Debt - Banking,0.52,2014-04-25,550.00
Franklin India Corporate Debt Fund - Regular Plan,1,10.29,1/21,Moderate,Debt - Bond,0.82,1997-06-23,843.00
Franklin India Floating Rate Fund - Regular Plan,4,9.40,4/12,Moderate,Debt,0.97,2001-04-23,337.00
Franklin India Government Securities Fund - Regular Plan,3,8.09,15/32,Moderate,Debt - Govt Instruments,1.14,2001-12-07,156.00
Franklin India Liquid Fund - Super Institutional Plan,5,7.28,1/45,Low to Moderate,Debt,0.20,2005-09-02,"2,866"
Franklin India Long Duration Fund - Regular Plan,--,--,--,Moderate,Debt,0.86,2024-12-11,28.00
Franklin India Low Duration Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.90,2025-03-06,337.00
Franklin India Medium to Long Duration Fund - Regular Plan,--,--,--,Moderate,Debt,0.83,2024-09-24,53.00
Franklin India Money Market Fund - Retail Plan,3,8.19,2/23,Low to Moderate,Debt,0.29,2002-02-11,"3,472"
Franklin India Overnight Fund - Regular Plan,3,6.36,12/35,Low,Debt,0.11,2019-05-08,516.00
Franklin India Ultra Short Duration Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.71,2024-08-29,252.00
Groww Dynamic Bond Fund - Regular Plan,2,7.00,21/23,Moderate,Debt - Bond,1.25,2018-12-06,61.00
Groww Gilt Fund - Regular Plan,--,--,--,Moderate,Debt - Govt Instruments,1.49,2025-05-09,29.00
Groww Liquid Fund - Regular Plan,4,7.24,3/45,Low to Moderate,Debt,0.20,2011-10-25,212.00
Groww Nifty 1D Rate Liquid ETF,--,--,--,Low,Debt,0.29,2024-09-24,80.00
Groww Overnight Fund - Regular Plan,2,6.27,29/35,Low,Debt,0.24,2019-07-08,17.00
Groww Short Duration Fund - Regular Plan,1,8.59,21/25,Moderate,Debt,1.10,2013-09-13,72.00
HDFC Banking and PSU Debt Fund - Regular Plan,3,9.09,9/22,Moderate,Debt - Banking,0.78,2014-03-26,"6,077"
HDFC Corporate Bond Fund - Regular Plan,4,9.38,11/21,Moderate,Debt - Bond,0.59,2010-06-29,"34,775"
HDFC Credit Risk Debt Fund - Regular Plan,3,8.76,9/14,High,Debt,1.60,2014-03-25,"7,112"
HDFC CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.32,2025-05-06,315.00
HDFC Dynamic Debt Fund - Regular Plan,3,7.75,19/23,Moderate,Debt - Bond,1.52,1997-04-28,850.00
HDFC Floating Rate Debt Fund - Regular Plan,4,9.02,7/12,Low to Moderate,Debt,0.49,2007-10-23,"15,221"
HDFC Gilt Fund - Regular Plan,4,8.60,13/32,Moderate,Debt - Govt Instruments,0.89,2001-07-25,"3,047"
HDFC Income Fund - Regular Plan,3,8.70,5/13,Moderate,Debt,1.39,2000-09-11,953.00
HDFC Income Plus Arbitrage Active FoF - Regular Plan,--,2.31,--,Moderate,Debt,0.42,2012-02-06,638.00
HDFC Liquid Fund - Regular Plan,3,7.18,19/45,Low to Moderate,Debt,0.29,2000-10-17,"64,398"
HDFC Long Duration Debt Fund - Regular Plan,--,6.67,5/9,Moderate,Debt,0.65,2023-01-20,"5,766"
HDFC Low Duration Fund - Regular Plan,2,7.97,8/20,Low to Moderate,Debt,1.04,1999-11-18,"21,198"
HDFC Medium Term Debt Fund - Regular Plan,3,8.92,10/13,Moderately High,Debt,1.32,2002-02-06,"3,888"
HDFC Money Market Fund - Regular Plan,3,8.10,9/23,Low to Moderate,Debt,0.41,1999-11-18,"31,792"
HDFC NIFTY 1D RATE LIQUID ETF-Growth,--,5.83,44/45,Low,Debt,0.45,2023-08-24,28.00
HDFC Nifty G-Sec Apr 2029 Index Fund - Regular Plan,--,10.18,31/95,Moderate,Debt,0.37,2023-03-10,172.00
HDFC Nifty G-sec Dec 2026 Index - Regular Plan,--,8.56,74/95,Low to Moderate,Debt,0.36,2022-11-10,"1,208"
HDFC Nifty G-Sec July 2031 Index - Regular Plan,--,10.88,5/95,Moderate,Debt,0.37,2022-11-10,723.00
HDFC Nifty G-Sec Jun 2027 Index - Regular Plan,--,9.03,60/95,Low to Moderate,Debt,0.36,2022-12-09,746.00
