Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Expense Ratio (%),Launch,Net Assets (Cr)
Axis Money Market Fund - Regular Plan,4,8.17,Apr-23,Low to Moderate,Debt,0.33,06-08-2019,"18,862"
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,--,8,87/95,Low,Debt,0.09,11-05-2021,"1,105"
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF FoF - Regular Plan,--,7.73,91/95,Low,Debt,0.19,20-10-2021,256
Axis Nifty SDL September 2026 Debt Index Fund - Regular Plan,--,8.53,75/95,Low to Moderate,Debt,0.31,22-11-2022,77
Axis Overnight Fund - Regular Plan,5,6.44,Feb-35,Low,Debt,0.1,15-03-2019,"8,726"
Axis Short Duration Fund - Regular Plan,4,9.44,Mar-25,Moderate,Debt,0.88,22-01-2010,"9,494"
Axis Strategic Bond Fund - Regular Plan,5,9.59,Mar-13,Moderately High,Debt,1.16,28-03-2012,"1,945"
Axis Treasury Advantage Fund - Regular Plan,5,8.24,Apr-20,Low to Moderate,Debt,0.67,09-10-2009,"6,600"
Axis Ultra Short Duration Fund - Regular Plan,3,7.21,16/24,Moderate,Debt,1.18,10-09-2018,"6,211"
Axis US Treasury Dynamic Bond ETF FoF - Regular Plan,--,8.15,04-May,Very High,Debt,0.14,22-12-2023,52
Bajaj Finserv Banking and PSU Fund - Regular Plan,2,9.41,Feb-22,Moderate,Debt - Banking,0.89,13-11-2023,142
Bajaj Finserv Gilt Fund - Regular Plan,--,--,--,Moderate,Debt - Govt Instruments,1.04,15-01-2025,44
Bajaj Finserv Liquid Fund - Regular Plan,3,7.12,24/45,Low to Moderate,Debt,0.28,05-07-2023,"4,615"
Bajaj Finserv Money Market Fund - Regular Plan,2,7.69,19/23,Low to Moderate,Debt,0.76,24-07-2023,"3,816"
Bajaj Finserv Nifty 1D Rate Liquid ETF - Growth,--,6.03,42/45,Low,Debt,0.19,28-05-2024,846
Bajaj Finserv Overnight Fund - Regular Plan,4,6.4,Mar-35,Low,Debt,0.12,05-07-2023,569
Bandhan Banking & PSU Debt Fund - Regular Plan,4,8.71,19/22,Moderate,Debt - Banking,0.63,07-03-2013,"13,580"
Bandhan Bond Fund Income Plan - Regular Plan,1,6.27,13/13,Moderate,Debt,1.98,14-07-2000,494
Bandhan Bond Fund Medium Term Plan - Regular Plan,2,8.93,Sep-13,Moderate,Debt,1.31,08-07-2003,"1,488"
Bandhan Bond Fund Short Term Plan - Regular Plan,2,9.25,May-25,Moderate,Debt,0.81,14-12-2000,"10,116"
Bandhan Corporate Bond Fund - Regular Plan,3,9.27,14/21,Moderate,Debt - Bond,0.65,12-01-2016,"15,304"
Bandhan Credit Risk Fund - Regular Plan,2,7.83,Dec-14,Moderate,Debt,1.69,03-03-2017,283
Bandhan CRISIL-IBX 10:90 Gilt + SDL Index - Dec 2029 Fund - Regular Plan,--,--,--,Moderate,Debt,0.33,10-03-2025,11
Bandhan CRISIL IBX 90:10 SDL Plus Gilt- April 2032 Index Fund - Regular Plan,--,10.69,14/95,Moderate,Debt,0.26,29-11-2022,544
Bandhan CRISIL IBX 90:10 SDL Plus Gilt- November 2026 Index Fund - Regular Plan,--,8.56,73/95,Low to Moderate,Debt,0.33,17-11-2022,106
Bandhan CRISIL IBX 90:10 SDL Plus Gilt-September 2027 Index Fund - Regular Plan,--,9.3,49/95,Low to Moderate,Debt,0.33,24-11-2022,153
Bandhan CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.35,13-03-2025,407
Bandhan Crisil IBX Gilt April 2026 Index Fund - Regular Plan,--,7.65,92/95,Low to Moderate,Debt,0.41,20-10-2022,440
Bandhan CRISIL IBX Gilt April 2028 Index Fund - Regular Plan,--,9.28,50/95,Low to Moderate,Debt,0.44,23-03-2021,"4,682"
Bandhan Crisil IBX Gilt April 2032 Index Fund - Regular Plan,--,10.79,Aug-95,Moderate,Debt,0.46,15-02-2023,467
Bandhan CRISIL IBX Gilt June 2027 Index Fund - Regular Plan,--,8.86,66/95,Low to Moderate,Debt,0.44,23-03-2021,"6,671"
Bandhan Dynamic Bond Fund - Regular Plan,1,5.56,23/23,Moderate,Debt - Bond,1.57,01-12-2008,"2,939"
Bandhan Floating Rate Fund - Regular Plan,3,9.28,06-Dec,Moderate,Debt,0.79,18-02-2021,312
Bandhan Government Securities Fund - Constant Maturity Plan - Regular Plan,--,10.59,05-Aug,Moderate,Debt,0.36,09-03-2002,372
Bandhan Government Securities Fund - Investment Plan - Regular Plan,1,6.06,32/32,Moderate,Debt - Govt Instruments,1.14,01-12-2008,"3,432"
Bandhan Income Plus Arbitrage FoF - Regular Plan,--,8.67,--,Moderate,Debt,0.29,13-09-2004,463
Bandhan Liquid Fund - Regular Plan,3,7.12,25/45,Low to Moderate,Debt,0.25,01-04-2004,"13,626"
Bandhan Long Duration Fund - Regular Plan,--,6.49,07-Sep,Moderate,Debt,0.66,20-03-2024,174
Bandhan Low Duration Fund - Regular Plan,3,7.96,Oct-20,Low to Moderate,Debt,0.62,17-01-2006,"6,506"
Bandhan Money Manager Fund - Regular Plan,2,7.92,14/23,Low to Moderate,Debt,0.35,18-02-2003,"10,885"
Bandhan Overnight Fund - Regular Plan,3,6.34,20/35,Low,Debt,0.15,18-01-2019,801
Bandhan Ultra Short Term Fund - Regular Plan,3,7.59,Aug-24,Low to Moderate,Debt,0.46,18-07-2018,"4,562"
Bandhan US Treasury Bond 0-1 year FoF - Regular Plan,--,8.34,03-May,Very High,Debt,0.18,28-03-2023,133
Bank of India Credit Risk Fund - Regular Plan,2,5.83,14/14,Moderately High,Debt,1.52,27-02-2015,110
Bank of India Liquid Fund - Regular Plan,5,7.27,Feb-45,Low to Moderate,Debt,0.14,16-07-2008,"1,849"
Bank of India Money Market Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.62,04-02-2025,109
Bank of India Overnight Fund - Regular Plan,5,6.52,Jan-35,Low,Debt,0.11,28-01-2020,72
Bank of India Short Term Income Fund - Regular Plan,1,10.17,Jan-25,Moderate,Debt,1.05,18-12-2008,137
Bank of India Ultra Short Duration Fund - Regular Plan,2,7.03,21/24,Low to Moderate,Debt,0.9,16-07-2008,224
Baroda BNP Paribas Banking & PSU Bond Fund - Regular Plan,2,9.33,Mar-22,Moderate,Debt - Banking,0.8,17-12-2020,26
Baroda BNP Paribas Corporate Bond Fund,2,10,Feb-21,Moderate,Debt - Bond,0.58,08-11-2008,299
Baroda BNP Paribas Credit Risk Fund - Regular Plan,4,8.97,Aug-14,Moderately High,Debt,1.61,23-01-2015,178
Baroda BNP Paribas Dynamic Bond Fund - Regular Plan,3,7.94,16/23,Moderate,Debt - Bond,1.7,23-09-2004,202
Baroda BNP Paribas Gilt Fund - Regular Plan,5,10.15,Sep-32,Moderate,Debt - Govt Instruments,0.45,21-03-2002,"1,762"
Baroda BNP Paribas Income Plus Arbitrage Active FoF - Regular Plan,--,--,--,Moderate,Debt,0.25,23-05-2025,80
Baroda BNP Paribas Liquid Fund,3,7.12,23/45,Low to Moderate,Debt,0.31,05-02-2009,"11,384"
Baroda BNP Paribas Low Duration Fund,2,7.55,20/20,Moderate,Debt,1.09,21-10-2005,247
Baroda BNP Paribas Money Market Fund - Regular Plan,3,7.95,13/23,Low to Moderate,Debt,0.44,19-06-2019,"1,569"
Baroda BNP Paribas Nifty SDL December 2026 Index Fund - Regular Plan,--,8.73,71/95,Low to Moderate,Debt,0.49,25-01-2023,124
Baroda BNP Paribas NIFTY SDL December 2028 Index Fund - Regular Plan,--,10.39,26/95,Moderate,Debt,0.49,24-03-2023,28
Baroda BNP Paribas Overnight Fund - Regular Plan,3,6.37,Oct-35,Low,Debt,0.17,25-04-2019,684
Baroda BNP Paribas Overnight Fund - Unclaimed,--,--,--,Low,Debt,--,--,684
Baroda BNP Paribas Short Duration Fund - Regular Plan,3,9.07,Sep-25,Moderate,Debt,1.08,30-06-2010,199
Baroda BNP Paribas Ultra Short Duration Fund - Regular Plan,5,7.7,Mar-24,Low to Moderate,Debt,0.49,01-06-2018,"1,595"
BHARAT Bond ETF - April 2030,--,10.5,23/95,Moderate,Debt,0.01,26-12-2019,"25,437"
BHARAT Bond ETF - April 2031,--,10.74,Oct-95,Moderate,Debt,0.01,23-07-2020,"13,455"
BHARAT Bond ETF - April 2032,--,10.86,Jun-95,Moderate,Debt,0.01,13-12-2021,"11,049"
BHARAT Bond ETF - April 2033,--,10.94,Mar-95,Moderate,Debt,0.01,12-12-2022,"6,385"
BHARAT Bond ETF FOF - April 2032 - Regular Plan,--,10.98,Feb-95,Moderate,Debt,0.08,15-12-2021,"4,600"
BHARAT Bond ETF FOF - April 2033 - Regular Plan,--,11.06,Jan-95,Moderate,Debt,0.09,14-12-2022,"2,377"
BHARAT Bond FOF - April 2030 - Regular Plan,--,10.25,29/95,Moderate,Debt,0.08,30-12-2019,"9,872"
BHARAT Bond FOF - April 2031 - Regular Plan,--,10.53,20/95,Moderate,Debt,0.08,23-07-2020,"4,888"
Canara Robeco Banking and PSU Debt Fund - Regular Plan,3,8.16,22/22,Moderate,Debt - Banking,0.71,22-08-2022,233
Canara Robeco Corporate Bond Fund - Regular Plan,2,8,21/21,Moderate,Debt - Bond,1.03,07-02-2014,117
Canara Robeco Dynamic Bond Fund - Regular Plan,1,6.48,22/23,Moderate,Debt - Bond,1.75,29-05-2009,133
Canara Robeco Gilt Fund - Regular Plan,3,7.19,23/32,Moderate,Debt - Govt Instruments,1.25,29-12-1999,146
Canara Robeco Income Fund - Regular Plan,2,7.08,Dec-13,Moderate,Debt,1.88,19-09-2002,121
Canara Robeco Liquid Fund - Regular Plan,5,7.23,Jun-45,Low to Moderate,Debt,0.2,14-07-2008,"4,692"
Canara Robeco Overnight Fund - Regular Plan,3,6.32,24/35,Low,Debt,0.09,24-07-2019,244
Canara Robeco Savings Fund - Regular Plan,3,7.95,Nov-20,Low to Moderate,Debt,0.5,04-03-2005,"1,350"
Canara Robeco Short Duration Fund - Regular Plan,3,8.27,24/25,Moderate,Debt,1.02,25-04-2011,455
Canara Robeco Ultra Short Term Fund - Regular Plan,2,7.12,17/24,Low to Moderate,Debt,0.95,14-07-2008,570
DSP 10Y G-Sec Fund - Regular Plan,--,10.08,08-Aug,Moderate,Debt,0.51,26-09-2014,60
DSP Banking & PSU Debt Fund - Regular Plan,2,8.94,14/22,Moderate,Debt - Banking,0.58,14-09-2013,"4,104"
DSP Bond Fund - Retail Plan,3,9.66,Feb-13,Moderate,Debt,0.72,29-04-1997,312
DSP BSE Liquid Rate ETF,--,6.11,39/45,Low,Debt,0.3,27-03-2024,"2,354"
DSP Corporate Bond Fund - Regular Plan,1,8.85,19/21,Low to Moderate,Debt - Bond,0.55,10-09-2018,"2,647"
DSP Credit Risk Fund - Regular Plan,1,23.01,Jan-14,Moderately High,Debt,1.12,13-05-2003,210
DSP CRISIL-IBX 50:50 Gilt Plus SDL - April 2033 Index Fund - Regular Plan,--,10.58,16/95,Moderate,Debt,0.41,25-01-2023,406
DSP Floater Fund - Regular Plan,2,9.56,02-Dec,Moderate,Debt,0.52,19-03-2021,580
DSP Gilt Fund - Regular Plan,3,7.54,18/32,Moderate,Debt - Govt Instruments,1.14,30-09-1999,"1,904"
DSP Income Plus Arbitrage FoF- Regular Plan,--,8.3,--,Moderate,Debt,0.99,21-08-2014,684
DSP Liquidity Fund - Regular Plan,4,7.23,May-45,Low to Moderate,Debt,0.18,23-11-2005,"17,752"
DSP Low Duration Fund - Regular Plan,3,7.97,Sep-20,Low to Moderate,Debt,0.61,10-03-2015,"5,230"
DSP NIFTY 1D Rate Liquid ETF,--,6.11,40/45,Low,Debt,0.3,14-03-2018,543
DSP Nifty SDL Plus G-Sec Jun 2028 30:70 Index Fund - Regular Plan,--,9.62,44/95,Low to Moderate,Debt,0.29,21-03-2022,"2,173"
DSP Nifty SDL Plus G-Sec Sep 2027 50:50 Index Fund - Regular Plan,--,9.19,55/95,Low to Moderate,Debt,0.31,14-02-2023,86
DSP Overnight Fund - Regular Plan,4,6.36,Nov-35,Low,Debt,0.14,09-01-2019,"1,442"
DSP Overnight Fund - Unclaimed,--,--,--,Low,Debt,0.07,--,"1,442"
DSP Savings Fund - Regular Plan,3,7.63,20/23,Low to Moderate,Debt,0.39,30-09-1999,"4,517"
DSP Short Term Fund - Regular Plan,3,9.02,Dec-25,Moderate,Debt,0.95,09-09-2002,"3,418"
DSP Strategic Bond Fund - Regular Plan,2,7.47,20/23,Moderate,Debt - Bond,1.2,09-05-2007,"1,601"
DSP Ultra Short Fund - Regular Plan,2,7.37,13/24,Low to Moderate,Debt,1.02,31-07-2006,"4,011"
DSP US Treasury FoF - Regular Plan,--,8.08,05-May,Very High,Debt,0.26,18-03-2024,60
Edelweiss Banking and PSU Debt Fund - Regular Plan,1,9.63,Jan-22,Moderate,Debt - Banking,0.69,13-09-2013,270
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund - Regular Plan,--,10.72,Nov-95,Moderate,Debt,0.46,11-10-2022,"1,089"
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund - Regular Plan,--,8.97,63/95,Low to Moderate,Debt,0.44,19-10-2022,94
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund - Regular Plan,--,9.87,36/95,Low to Moderate,Debt,0.46,10-11-2022,151
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index Fund - Regular Plan,3,9.11,Aug-25,Low to Moderate,Debt,0.6,15-02-2023,141
Edelweiss CRISIL-IBX AAA Bond NBFC-HFC - Jun 2027 Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.34,18-02-2025,83
Edelweiss CRISIL IBX AAA Financial Services Bond - Jan 2028 Index Fund - Regular Plan,--,--,--,Moderate,Debt,0.36,29-11-2024,126
Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund - Regular Plan,--,7.26,94/95,Low,Debt,0.39,10-03-2022,793
Edelweiss Government Securities Fund - Regular Plan,3,7.47,22/32,Moderate,Debt - Govt Instruments,1.15,13-02-2014,182
Edelweiss Liquid Fund - Regular Plan,3,7.2,13/45,Low to Moderate,Debt,0.18,21-09-2007,"7,716"
Edelweiss Low Duration Fund - Regular Plan,--,--,--,Low to Moderate,Debt,--,19-03-2025,557
Edelweiss Money Market Fund - Regular Plan,2,7.5,21/23,Low to Moderate,Debt,0.83,27-06-2008,"1,685"
Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund - Regular Plan,--,8.02,86/95,Low to Moderate,Debt,0.41,18-03-2021,"7,512"
Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index - Regular Plan,--,8.95,64/95,Low to Moderate,Debt,0.4,14-10-2021,"2,314"
Edelweiss Overnight Fund - Regular Plan,3,6.32,25/35,Low,Debt,0.16,23-07-2019,212
Franklin India Banking & PSU Debt Fund - Regular Plan,4,8.87,16/22,Moderate,Debt - Banking,0.52,25-04-2014,550
Franklin India Corporate Debt Fund - Regular Plan,1,10.29,Jan-21,Moderate,Debt - Bond,0.82,23-06-1997,843
Franklin India Floating Rate Fund - Regular Plan,4,9.4,04-Dec,Moderate,Debt,0.97,23-04-2001,337
Franklin India Government Securities Fund - Regular Plan,3,8.09,15/32,Moderate,Debt - Govt Instruments,1.14,07-12-2001,156
Franklin India Liquid Fund - Super Institutional Plan,5,7.28,Jan-45,Low to Moderate,Debt,0.2,02-09-2005,"2,866"
Franklin India Long Duration Fund - Regular Plan,--,--,--,Moderate,Debt,0.86,11-12-2024,28
Franklin India Low Duration Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.9,06-03-2025,337
Franklin India Medium to Long Duration Fund - Regular Plan,--,--,--,Moderate,Debt,0.83,24-09-2024,53
Franklin India Money Market Fund - Retail Plan,3,8.19,Feb-23,Low to Moderate,Debt,0.29,11-02-2002,"3,472"
Franklin India Overnight Fund - Regular Plan,3,6.36,Dec-35,Low,Debt,0.11,08-05-2019,516
Franklin India Ultra Short Duration Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.71,29-08-2024,252
Groww Dynamic Bond Fund - Regular Plan,2,7,21/23,Moderate,Debt - Bond,1.25,06-12-2018,61
Groww Gilt Fund - Regular Plan,--,--,--,Moderate,Debt - Govt Instruments,1.49,09-05-2025,29
Groww Liquid Fund - Regular Plan,4,7.24,Mar-45,Low to Moderate,Debt,0.2,25-10-2011,212
Groww Nifty 1D Rate Liquid ETF,--,--,--,Low,Debt,0.29,24-09-2024,80
Groww Overnight Fund - Regular Plan,2,6.27,29/35,Low,Debt,0.24,08-07-2019,17
Groww Short Duration Fund - Regular Plan,1,8.59,21/25,Moderate,Debt,1.1,13-09-2013,72
HDFC Banking and PSU Debt Fund - Regular Plan,3,9.09,Sep-22,Moderate,Debt - Banking,0.78,26-03-2014,"6,077"
HDFC Corporate Bond Fund - Regular Plan,4,9.38,Nov-21,Moderate,Debt - Bond,0.59,29-06-2010,"34,775"
HDFC Credit Risk Debt Fund - Regular Plan,3,8.76,Sep-14,High,Debt,1.6,25-03-2014,"7,112"
HDFC CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Regular Plan,--,--,--,Low to Moderate,Debt,0.32,06-05-2025,315
HDFC Dynamic Debt Fund - Regular Plan,3,7.75,19/23,Moderate,Debt - Bond,1.52,28-04-1997,850
HDFC Floating Rate Debt Fund - Regular Plan,4,9.02,07-Dec,Low to Moderate,Debt,0.49,23-10-2007,"15,221"
HDFC Gilt Fund - Regular Plan,4,8.6,13/32,Moderate,Debt - Govt Instruments,0.89,25-07-2001,"3,047"
HDFC Income Fund - Regular Plan,3,8.7,May-13,Moderate,Debt,1.39,11-09-2000,953
HDFC Income Plus Arbitrage Active FoF - Regular Plan,--,2.31,--,Moderate,Debt,0.42,06-02-2012,638
HDFC Liquid Fund - Regular Plan,3,7.18,19/45,Low to Moderate,Debt,0.29,17-10-2000,"64,398"
HDFC Long Duration Debt Fund - Regular Plan,--,6.67,05-Sep,Moderate,Debt,0.65,20-01-2023,"5,766"
HDFC Low Duration Fund - Regular Plan,2,7.97,Aug-20,Low to Moderate,Debt,1.04,18-11-1999,"21,198"
HDFC Medium Term Debt Fund - Regular Plan,3,8.92,Oct-13,Moderately High,Debt,1.32,06-02-2002,"3,888"
HDFC Money Market Fund - Regular Plan,3,8.1,Sep-23,Low to Moderate,Debt,0.41,18-11-1999,"31,792"
HDFC NIFTY 1D RATE LIQUID ETF-Growth,--,5.83,44/45,Low,Debt,0.45,24-08-2023,28
HDFC Nifty G-Sec Apr 2029 Index Fund - Regular Plan,--,10.18,31/95,Moderate,Debt,0.37,10-03-2023,172
HDFC Nifty G-sec Dec 2026 Index - Regular Plan,--,8.56,74/95,Low to Moderate,Debt,0.36,10-11-2022,"1,208"
HDFC Nifty G-Sec July 2031 Index - Regular Plan,--,10.88,May-95,Moderate,Debt,0.37,10-11-2022,723
HDFC Nifty G-Sec Jun 2027 Index - Regular Plan,--,9.03,60/95,Low to Moderate,Debt,0.36,09-12-2022,746
HDFC NIFTY G-Sec Jun 2036 Index Fund - Regular Plan,--,10.69,13/95,Moderate,Debt,0.38,15-03-2023,899
HDFC Nifty G-Sec Sep 2032 Index - Regular Plan,--,10.79,Sep-95,Moderate,Debt,0.38,09-12-2022,660
